"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\attack_tables.rs", "Rust", 44, 1, 9, 54
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\bitboard.rs", "Rust", 76, 5, 24, 105
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\cmove.rs", "Rust", 100, 0, 19, 119
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\constant_generation.rs", "Rust", 55, 5, 16, 76
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\evaluation.rs", "Rust", 344, 61, 75, 480
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\io.rs", "Rust", 30, 0, 5, 35
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\main.rs", "Rust", 371, 21, 42, 434
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\make_move.rs", "Rust", 160, 220, 24, 404
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\move_generator.rs", "Rust", 455, 400, 105, 960
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\perft.rs", "Rust", 5, 68, 4, 77
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\position.rs", "Rust", 258, 4, 44, 306
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\repetition_table.rs", "Rust", 29, 0, 5, 34
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\searcher.rs", "Rust", 263, 33, 99, 395
"c:\Users\Joachim\Documents\VSCode\nebel_chess_engine\src\transposition_table.rs", "Rust", 95, 7, 20, 122
"Total", "-", 2285, 825, 491, 3601
